id,school,location,role,rating,submittedDate,salary,monthlyTakeHome,monthlySavings,taxRate,housing,airfare,childrenTuition,healthInsurance,retirementPlan,education,experience,yearsAtSchool,curricula,workload,contractLength,schoolStructure,facultySize,extracurriculars,url
"1219","🇺🇸 Lycée français de San Francisco","San Francisco, United States of America","High School Specialist Teacher","","","","$5,400","Less than 20% savings","27%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","Masters","9-10 years","2","French","Light (Less than 20 hours per week)","1 year","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1219"
"1220","🇧🇴 Collège Alcide d'Orbigny","La Paz, Bolivia","Elementary Homeroom Teacher","","","","$870","Less than 20% savings","10%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Masters","11-15 years","3","French","Busy (26-30 hours per week)","3 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1220"
"1221","🇨🇲 Creche inspirée montessori hoboulala","Douala, Cameroon","Early Childhood Teacher","","","","$200","Less than 20% savings","40%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","Yes","Masters","3-5 years","1","French","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1221"
"1222","🇮🇳 Lycée français international de delhi","Delhi, India","Early Childhood Teacher","","","","$1,600","Less than 20% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","No","Bachelors","6-8 years","7","French","Busy (26-30 hours per week)","1 year","Other","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1222"
"1223","🇮🇩 Jakarta Indonesia Korean School","Jakarta, Indonesia","High School Teacher","","","","","","","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1223"
"1224","🇸🇦 American international school Jeddah","Jeddah, Saudi Arabia","High School Teacher","","","","$4,333","Less than 20% savings","0%","Not provided","1 flight per year","Partial tuition is provided for teacher's children","Provided","No","Masters","11-15 years","","American","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1224"
"1225","🇨🇳 Dulwich Shanghai","Shanghai, China","High School Specialist Teacher","","","","$5,000","31% - 40% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Ph.D / Ed.D","11-15 years","5","British","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1225"
"1226","🇶🇦 Park House English School","Doha, Qatar","Middle School Teacher","","","","$5,200","41% - 50% savings","0%","$1,000","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Masters","9-10 years","","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1226"
"1227","🇰🇷 Busan Foreign School","Busan, South Korea","High School Teacher","","","","$2,600","Less than 20% savings","25%","Not provided","End of contract about 1000 usd","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","8","American","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1227"
"1228","🇲🇹 Verdala international School","Pembroke, Malta","High School Specialist Teacher","","","","$1,950","Less than 20% savings","20%","Not provided","Not provided","Free tuition is provided for one child per teacher","Employee Pays Percentage","No","Bachelors","6-8 years","4","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1228"
"1229","🇸🇦 British international school of al khobar","Khobar, Saudi Arabia","High School Teacher","","","","$4,000","61% - 70% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","3","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1229"
"1230","🇨🇳 BASIS International School Shenzhen","Shenzhen, China","Elementary Specialist Teacher","","","","$5,000","71% - 80% savings","15%","Not provided","Includes Dependents","Free tuition is provided for two children per teacher","Provided","Yes","Masters","9-10 years","6","American","Moderate (20-25 hours per week)","3 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1230"
"1231","🇸🇦 Bisak","Khobar, Saudi Arabia","High School Teacher","","","","$4,127","71% - 80% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","3","British","Heavy (More than 30 hours per week)","3 years","Non-Profit (Board Governed)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1231"
"1232","🇸🇨 École française seychelles","Victoria, Seychelles","High School Teacher","","","","$2,000","Less than 20% savings","20%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","No","Masters","11-15 years","2","French","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1232"
"1233","🇯🇴 American Community School - Amman","Amman, Jordan","Middle School Teacher","","","","$4,600","21% - 30% savings","0%","Not provided","One round trip flight per person in family. Paid in cash or purchased by school","Free tuition is provided for one child per teacher","Provided","Yes","Masters","11-15 years","3","American","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1233"
"1234","🇫🇷 Ecole Jeannine Manuel","Paris, France","Middle School Teacher","","","","$2,800","Less than 20% savings","15%","Not provided","Not provided","Free tuition is provided for one child per teacher","Employee Pays Percentage","No","Masters","11-15 years","7","French","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1234"
"1235","🇺🇸 Lfc","Chicago, United States of America","Elementary Homeroom Teacher","","","","$0","21% - 30% savings","30%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","No","Bachelors","16+ years","2","International Baccalaureate","Moderate (20-25 hours per week)","3 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1235"
"1236","🇺🇸 Lycee francais de san diego","San diego, United States of America","Elementary Homeroom Teacher","","","","$3,500","Less than 20% savings","14%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","No","Masters","11-15 years","1","French","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1236"
"1237","🇺🇸 The Awty International School","Houston, United States of America","High School Teacher","","","","$7,000","31% - 40% savings","23%","Not provided","Round trip","Partial tuition is provided for teacher's children","Employee Pays Percentage","Yes","Masters","16+ years","3","French","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1237"
"1238","🇦🇪 Eifs sharjah","Sharjah, United Arab Emirates","Elementary Homeroom Teacher","","","","$6,800","21% - 30% savings","0%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","Yes","Bachelors","16+ years","5","French","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Small (<20 teachers)","None","https://www.internationalteachersalary.com/schools/1238"
"1239","🇨🇦 Providence sœurs antonines","Ottawa, Canada","Elementary Homeroom Teacher","","","","$2,300","Less than 20% savings","10%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","No","Masters","3-5 years","1","French","Busy (26-30 hours per week)","Less than 1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1239"
"1240","🇲🇦 Leon l’africain","Casablanca, Morocco","High School Teacher","","","","$2,000","Less than 20% savings","38%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Masters","9-10 years","1","French","Busy (26-30 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1240"
"1241","🇫🇷 École Jeannine Manuel","Paris, France","Middle School Teacher","","","","$2,800","Less than 20% savings","20%","Not provided","Not provided","Free tuition is provided for one child per teacher","Not Provided","No","Masters","9-10 years","7","French","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1241"
"1242","🇺🇸 Fasps","Mercer island, United States of America","Librarian","","","","$5,000","Less than 20% savings","20%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","Yes","Masters","16+ years","7","French","Heavy (More than 30 hours per week)","1 year","Non-Profit (Public)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1242"
"1243","🇲🇦 Établissement français international Casablanca","Casablanca, Morocco","Middle School Teacher","","","","","","","Not provided","Not provided","Free tuition is provided for two children per teacher","Not Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1243"
"1244","🇨🇳 Western Academy of Beijing","Beijing, China","High School Teacher","","","","$4,900","31% - 40% savings","25%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Bachelors","3-5 years","3","International Baccalaureate","Light (Less than 20 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1244"
"1245","🇬🇹 Village School Guatemala","Guatemala City, Guatemala","High School Teacher","","","","$1,200","Less than 20% savings","0%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Employee Pays Percentage","No","Masters","9-10 years","2","American","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1245"
"1246","🇹🇳 École internationale de Sfax","Sfax, Tunisia","Middle School Teacher","","","","$1,300","Less than 20% savings","0%","Not provided","Round trip","Tuition is NOT provided for teacher's children","Employee Pays Percentage","No","Masters","11-15 years","1","French","Moderate (20-25 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1246"
"1247","🇸🇦 International Schools Group","Jubail, Saudi Arabia","High School Teacher","","","","$6,600","61% - 70% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Masters","11-15 years","8","American","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1247"
"1248","🇨🇭 Zurich International School","Zurich, Switzerland","High School Teacher","","","","$110,615","21% - 30% savings","12%","Not provided","Not provided","Free tuition is provided for two children per teacher","Not Provided","Yes","Masters","9-10 years","4","American","Busy (26-30 hours per week)","1 year","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1248"
"1249","🇲🇦 Lycee français International Odette du Puigaudeau","Dakhla, Morocco","Early Childhood Teacher","","","","","","","Not provided","Not provided","Free tuition is provided for all of teacher's children","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1249"
"1250","🇰🇷 North London Collegiate School Jeju","Jeju, South Korea","High School Coordinator/Lead","","","","","","","Not provided","Keeps changing - in future a stipend (taxed)","Free tuition is provided for two children per teacher","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1250"
"1251","🇹🇼 Hankel International Academy of Primary School","Linkou, Taiwan","Elementary Homeroom Teacher","","","","$2,300","Less than 20% savings","5%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","No","Bachelors","6-8 years","1","American","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1251"
"1252","🇧🇭 St Christopher's School Bahrain","Manama, Bahrain","High School Specialist Teacher","","","","$5,184","31% - 40% savings","0%","$2,000","Round trip, based on average cost to home country. Includes dependents","Free tuition is provided for two children per teacher","Provided","No","Masters","6-8 years","1","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1252"
"1253","🇺🇸 Lycée Français de la Nouvelle-Orléans","New Orleans, United States of America","Middle School Teacher","","","","$3,382","Less than 20% savings","20%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","Yes","Masters","9-10 years","3","French","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1253"
"1254","🇨🇳 International School of Beijing","Beijing, China","Middle School Teacher","","","","$6,500","41% - 50% savings","30%","$2,300","Airfare based on average price - so pretty much just covers your flights once a year.  If you have extra housing allowance you can also use this for flights.","Free tuition is provided for one child per teacher","Provided","Yes","Masters","11-15 years","6","American","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1254"
"1255","🇵🇭 Brent International School Manila","Biñan, Philippines","Middle School Teacher","","","","$2,600","21% - 30% savings","0%","Not provided","Round trip every year for family","Partial tuition is provided for teacher's children","Provided","No","Masters","6-8 years","3","American","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1255"
"1256","🇷🇸 Prima","Belgarde, Serbia","Middle School Teacher","","","","$1,250","Less than 20% savings","0%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Bachelors","11-15 years","3","British","Busy (26-30 hours per week)","1 year","For-Profit (Family-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1256"
"1257","🇷🇸 Brookhill","Belgrade, Serbia","High School Teacher","","","","$1,250","Less than 20% savings","0%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Bachelors","11-15 years","4","British","Moderate (20-25 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1257"
"1258","🇹🇭 Singapore International School of Bangkok","Bangkok, Thailand","Early Childhood Teacher","","","","$2,700","21% - 30% savings","15%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","3","Singaporean","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1258"
"1259","🇹🇭 KIS International School Bangkok","Bangkok, Thailand","High School Teacher","","","","$4,440","Less than 20% savings","20%","$750","Not provided","Free tuition is provided for one child per teacher","Provided","No","Masters","16+ years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1259"
"1260","🇯🇵 Nagoya International School","Nagoya, Japan","Teacher's Assistant","","","","$1,200","21% - 30% savings","20%","Not provided","Round way trip for beginning/end of contract, 1 round way trip a year for visting home, includes dependants","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Bachelors","1-2 years","1","International Baccalaureate","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1260"
"1261","🇭🇰 Kellett School","Hong Kong, Hong Kong","Assistant High School Principal","","","","$11,650","51% - 60% savings","15%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","Bachelors","16+ years","5","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1261"
"1262","🇨🇳 Shanghai Singapore International School","Shanghai, China","High School Teacher","","","","$5,342","31% - 40% savings","13%","$1,600","Depends on passport country","Free tuition is provided for three children per teacher","Provided","No","Masters","6-8 years","2","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1262"
"1263","🇨🇳 Suis","Shanghai, China","High School Teacher","","","","$4,400","41% - 50% savings","20%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Bachelors","3-5 years","","British","Light (Less than 20 hours per week)","2 years","For-Profit (Corporate-Owned)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1263"
"1264","🇹🇳 American Cooperative School of Tunis","Tunis, Tunisia","High School Teacher","","","","$5,300","51% - 60% savings","0%","Not provided","Annual round-trip / one-way at the end of contract","Free tuition is provided for one child per teacher","Provided","Yes","Masters","16+ years","4","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1264"
"1265","🇭🇰 Shrewsbury international school Hong Kong","Hong Kong, Hong Kong","Early Childhood Teacher","","","","$7,419","21% - 30% savings","17%","$1,675","Round trip includes dependents","Free tuition is provided for two children per teacher","Provided","Yes","Bachelors","11-15 years","1","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1265"
"1266","🇨🇳 Dulwich College Shanghai Pudong","Shanghai, China","Elementary Homeroom Teacher","","","","6000","41% - 50% savings","15","2600","2200 then 75% for each dependent","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","","British","Heavy (More than 30 hours per week)","3 years","For-Profit (Family-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1266"
"1267","🇹🇷 Istanbul International Community School","Istanbul, Turkey","Elementary Physical Education Teacher","","","","3485","Less than 20% savings","0","1100","one ticket round trip fare annually","Partial tuition is provided for teacher's children","Provided","Yes","Bachelors","6-8 years","","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1267"
"1268","🇰🇷 International School Busan (ISB)","Busan, South Korea","Elementary Homeroom Teacher","","","","","","","1000","Annual Flight home","Free tuition is provided for two children per teacher","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1268"
"1269","🇧🇷 International School of Curitiba","Curitiba, Brazil","Elementary Homeroom Teacher","","","","1300","21% – 30% savings","30","790","Annual return","Free tuition is provided for one child per teacher","Provided","No","Bachelors","6-8 years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1269"
"1270","🇹🇼 Grace Christian Academy","Taipei, Taiwan","ESL/EAL Teacher","","","","2500","41% – 50% savings","6","500","Flight to and From Home Country","Free tuition is provided for one child per teacher","Provided","No","Masters","3-5 years","","American","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1270"
"1271","🇦🇪 Brighton College Al Ain","Al Ain, United Arab Emirates","High School English Teacher","","","","","","","Not provided","Flights provided for family","Free tuition is provided for two children per teacher","Not provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1271"
"1272","🇦🇪 Manor Hall International School","Al Ain, United Arab Emirates","Kindergarten Teacher","","","","3542","31% – 40% savings","0","5150","Exit flight at the end of each school year, exit flight in case of early termination","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","2","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1272"
"1273","🇦🇪 Gems International School","Dubai, United Arab Emirates","Elementary Homeroom Teacher","","","","4000","21% – 30% savings","0","Not provided","Return airfare each year","Free tuition is provided for one child per teacher","Provided","No","Bachelors","9-10 years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1273"
"1274","🇨🇳 LEH International School Foshan","Foshan, China","High School Psychology Teacher","","","","2900","31% – 40% savings","35","Not provided","3000","Free tuition is provided for one child per teacher","Employee pays percentage","No","Masters","16+ years","1","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1274"
"1275","🇵🇹 United Lisbon International School (ULIS)","Lisbon, Portugal","High School English Teacher","","","","2930","41% – 50% savings","33","Not provided","1,500 Relocation Allowance","Free tuition is provided for two children per teacher","Provided","No","Bachelors","16+ years","2","International Baccalaureate","Light (Less than 20 hours per week)","1 year","For-Profit (Corporate-Owned)","Small (<20 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1275"
"1276","🇮🇹 Marymount International School Rome","Rome, Italy","High School Math Teacher","","","","3600","Less than 20% savings","10","Not provided","Relocation allowance of 1500 Euros. (About 1650 USD.)","Partial tuition is provided for teacher's children","Employee pays percentage","No","Masters","6-8 years","","International Baccalaureate","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1276"
"1277","🇻🇳 Hoi An International School","Hoi An, Vietnam","Middle School Coordinator/Lead","","","","","","","700","Yearly return flight to home country","Free tuition is provided for two children per teacher","Employee pays percentage","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1277"
"1278","🇹🇷 MEF International School","Istanbul, Turkey","Elementary Homeroom Teacher","","","","3130","21% – 30% savings","0","550","Flight at the start and end of employment, flight allowance every 2 years","Partial tuition is provided for teacher's children","Provided","No","Masters","6-8 years","3","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1278"
"1279","🇹🇷 MEF International School","Istanbul, Turkey","Elementary Homeroom Teacher","","","","3735","31% – 40% savings","0","550","Flight at start and end of employment with the school, flight allowance every 2 years based on region of home on record","Partial tuition is provided for teacher's children","Provided","No","Masters","11-15 years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1279"
"1280","🇸🇦 Nun Academy","Jeddah, Saudi Arabia","Elementary Homeroom Teacher","","","","3430","61% – 70% savings","0","1000","Flight home once a year, flight home at the end of the contract","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","1","Swedish","Heavy (More than 30 hours per week)","3 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1280"
"1281","🇹🇷 MEF International School","Istanbul, Turkey","Assistant High School Principal","","","","4400","41% – 50% savings","0","550","Airfare at start and end of employment and every 2nd year of contract","Partial tuition is provided for teacher's children","Provided","No","Masters","11-15 years","5","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1281"
"1282","🇨🇳 Huawai Tongman Foreign language school","Guangzhou, China","ESL/EAL Teacher","","","","4300","61% – 70% savings","25","250","400","Free tuition is provided for one child per teacher","Provided","Yes","Masters","6-8 years","1","Chinese","Moderate (20-25 hours per week)","1 year","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1282"
"1283","🇨🇳 Huawai Tongman Foreign language school","Guangzhou, China","ESL/EAL Teacher","","","","4300","61% – 70% savings","25","250","400","Free tuition is provided for one child per teacher","Provided","Yes","Masters","6-8 years","1","Chinese","Moderate (20-25 hours per week)","1 year","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1283"
"1284","🇴🇲 Al Shomoukh","Muscst, Oman","Elementary Homeroom Teacher","","","","30000","41% – 50% savings","0","Not provided","500","Free tuition is provided for one child per teacher","Provided","No","Masters","16+ years","","British","Busy (26-30 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1284"
"1285","🇹🇭 Basis International School Bangkok","Bangkok, Thailand","Middle School Math Teacher","","","","2750","Less than 20% savings","30","900","Beginning and end of contract for teacher and dependents","Free tuition is provided for two children per teacher","Employee pays percentage","No","Masters","16+ years","2","American","Moderate (20-25 hours per week)","3 years","For-Profit (Family-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1285"
"1286","🇹🇭 Basis International School Bangkok","Bangkok, Thailand","Middle School Math Teacher","","","","2750","Less than 20% savings","30","900","Beginning and end of contract for teacher and dependents","Free tuition is provided for two children per teacher","Employee pays percentage","No","Masters","16+ years","2","American","Moderate (20-25 hours per week)","3 years","For-Profit (Family-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1286"
"1287","🇸🇬 NLCS","Singapore, Singapore","Elementary Homeroom Teacher","","","","5200","Less than 20% savings","15","2500","Approx 1100","Free tuition is provided for two children per teacher","Employee pays percentage","No","Bachelors","11-15 years","","British","Busy (26-30 hours per week)","3 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1287"
"1288","🇸🇬 NLCS","Singapore, Singapore","Elementary Homeroom Teacher","","","","5200","Less than 20% savings","15","2500","Approx 1100","Free tuition is provided for two children per teacher","Employee pays percentage","No","Bachelors","11-15 years","","British","Busy (26-30 hours per week)","3 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1288"
"1289","🇸🇬 NLCS","Singapore, Singapore","Elementary Physical Education Teacher","","","","","","","3300","Annual, dependent on home country. 1000 SGD.","Free tuition is provided for two children per teacher","Employee pays percentage","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1289"
"1290","🇸🇬 NLCS","Singapore, Singapore","Elementary Physical Education Teacher","","","","","","","3300","Annual, dependent on home country. 1000 SGD.","Free tuition is provided for two children per teacher","Employee pays percentage","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1290"
"1291","🇨🇳 Victoria Kindergarten","Shanghai, China","Kindergarten Teacher","","","","4000","41% – 50% savings","10","1120","1400","Free tuition is provided for all of teacher's children","Provided","No","Bachelors","6-8 years","7","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Small (<20 teachers)","None","https://www.internationalteachersalary.com/schools/1291"
"1292","🇨🇳 Bennendon Bilingual School Guangzhou","Guangzhou, China","Middle School Math Teacher","","","","5000","51% – 60% savings","20","1800","12000","Free tuition is provided for two children per teacher","Provided","Yes","Masters","9-10 years","2","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1292"
"1293","🇰🇭 Australian International School Phnom Penh","Phnom Penh, Cambodia","High School Design Technology Teacher","","","","3600","21% – 30% savings","20","1.10E+23","ticket taxed at 20%","Free tuition is provided for one child per teacher","Employee pays percentage","Yes","Masters","11-15 years","","Australian","Busy (26-30 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1293"
